role,required_skills,salary,difficulty
Data Scientist,"R, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Confluence, Bash, C, C#, C++, Git, Go, IBM SPSS Statistics, Jenkins, Linux, SQL, Python, Sas",Rs.80L-Rs.134L,Advanced
Data Analyst,"R, Hadoop, C++, Ibm Db2, IBM SPSS Statistics, Linux, Python, Sas, Tableau, Unix, Apache Pig, Aptech Systems GAUSS, Cytel StatXact, IBM SPSS Amos, Insightful S-PLUS, Minitab, Muthen & Muthen Mplus, Qlik Tech QlikView",Rs.50L-Rs.92L,Intermediate
Data Engineer,"R, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple macOS, Confluence, Bash, C, C#, C++, Cascading style sheets CSS, Chef, Cisco Webex",Rs.84L-Rs.134L,Advanced
Machine Learning Engineer,"R, Adobe InDesign, Adobe Photoshop, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple macOS, Confluence, Autodesk AutoCAD, Bash, C, C#, C++",Rs.101L-Rs.151L,Advanced
AI Engineer,"R, Adobe InDesign, Adobe Photoshop, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple macOS, Confluence, Autodesk AutoCAD, Bash, C, C#, C++",Rs.101L-Rs.160L,Advanced
Backend Developer,"R, Adobe InDesign, Adobe Photoshop, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple iOS, Apple macOS, Atlassian Bitbucket, Confluence, Bash, C, C#",Rs.80L-Rs.130L,Intermediate
Frontend Developer,"R, Adobe InDesign, Adobe Photoshop, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple macOS, Atlassian Bitbucket, Confluence, Bash, C, C#, C++",Rs.71L-Rs.122L,Intermediate
Full Stack Developer,"R, Adobe InDesign, Adobe Photoshop, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple macOS, Atlassian Bitbucket, Confluence, Bash, C, C#, C++",Rs.76L-Rs.130L,Advanced
DevOps Engineer,"R, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple macOS, Confluence, Bash, C, C#, C++, Chef, Cisco Webex, Go",Rs.84L-Rs.139L,Advanced
Cloud Engineer,"R, Ajax, Amazon DynamoDB, Amazon Elastic Compute, Hadoop, Apache Hive, Kafka, Apache Maven, Apache Tomcat, Apple macOS, Confluence, Autodesk AutoCAD, Bash, C, C#, C++, Cascading style sheets CSS, Chef",Rs.88L-Rs.139L,Advanced
